Nintendo Wii U eShop || Severed (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Severed (USA) (eShop)/Severed (USA) (eShop).json
Nintendo Wii U eShop || Shuttle Rush (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Shuttle Rush (USA) (eShop)/Shuttle Rush (USA) (eShop).json
Nintendo Wii U eShop || Silver Falls - White Inside Its Umbra (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Silver Falls - White Inside Its Umbra (USA) (eShop)/Silver Falls - White Inside Its Umbra (USA) (eShop).json
Nintendo Wii U eShop || Space Hunted (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Space Hunted (USA) (eShop)/Space Hunted (USA) (eShop).json
Nintendo Wii U eShop || Space Hunted - The Lost Levels (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Space Hunted - The Lost Levels (USA) (eShop)/Space Hunted - The Lost Levels (USA) (eShop).json
Nintendo Wii U eShop || Spin the Bottle - Bumpie's Party (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Spin the Bottle - Bumpie's Party (USA) (eShop)/Spin the Bottle - Bumpie's Party (USA) (eShop).json
Nintendo Wii U eShop || Sportsball (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Sportsball (USA) (eShop)/Sportsball (USA) (eShop).json
Nintendo Wii U eShop || Star Fox Guard - Special Demo (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Star Fox Guard - Special Demo (USA) (eShop)/Star Fox Guard - Special Demo (USA) (eShop).json
Nintendo Wii U eShop || Star Fox Zero - The Battle Begins + Training (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Star Fox Zero - The Battle Begins + Training (USA) (eShop)/Star Fox Zero - The Battle Begins + Training (USA) (eShop).json
Nintendo Wii U eShop || SturmFront - The Mutant War - Ubel Edition (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/SturmFront - The Mutant War - Ubel Edition (USA) (eShop)/SturmFront - The Mutant War - Ubel Edition (USA) (eShop).json
Nintendo Wii U eShop || Tiny Galaxy (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Tiny Galaxy (USA) (eShop)/Tiny Galaxy (USA) (eShop).json
Nintendo Wii U eShop || Wicked Monsters Blast! HD+ (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Wicked Monsters Blast! HD+ (USA) (eShop)/Wicked Monsters Blast! HD+ (USA) (eShop).json
Nintendo Wii U eShop || Woah Dave! (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Woah Dave! (USA) (eShop)/Woah Dave! (USA) (eShop).json
Nintendo Wii U eShop || Zen Pinball 2 (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Zen Pinball 2 (USA) (eShop)/Zen Pinball 2 (USA) (eShop).json
Nintendo Wii U eShop || Zombie Defense (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/Zombie Defense (USA) (eShop)/Zombie Defense (USA) (eShop).json
Nintendo Wii U eShop || amiibo tap - Nintendo's Greatest Bits (USA) (eShop) || $ROM_JSON_ROOT/Nintendo/Nintendo Wii U eShop/amiibo tap - Nintendo's Greatest Bits (USA) (eShop)/amiibo tap - Nintendo's Greatest Bits (USA) (eShop).json
