Nintendo Super Famicom || Live A Live (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Live A Live (Japan) (English Patch)/Live A Live (Japan) (English Patch).json
Nintendo Super Famicom || Monstania (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Monstania (Japan)/Monstania (Japan).json
Nintendo Super Famicom || Monstania (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Monstania (Japan) (English Patch)/Monstania (Japan) (English Patch).json
Nintendo Super Famicom || Mystic Ark (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Mystic Ark (Japan)/Mystic Ark (Japan).json
Nintendo Super Famicom || Mystic Ark (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Mystic Ark (Japan) (English Patch)/Mystic Ark (Japan) (English Patch).json
Nintendo Super Famicom || Nekketsu Tairiku Burning Heroes (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Nekketsu Tairiku Burning Heroes (Japan)/Nekketsu Tairiku Burning Heroes (Japan).json
Nintendo Super Famicom || Nekketsu Tairiku Burning Heroes (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Nekketsu Tairiku Burning Heroes (Japan) (English Patch)/Nekketsu Tairiku Burning Heroes (Japan) (English Patch).json
Nintendo Super Famicom || Rockman X (Japan) (Rev 1) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Rockman X (Japan) (Rev 1)/Rockman X (Japan) (Rev 1).json
Nintendo Super Famicom || Rockman X2 (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Rockman X2 (Japan)/Rockman X2 (Japan).json
Nintendo Super Famicom || Rockman X3 (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Rockman X3 (Japan)/Rockman X3 (Japan).json
Nintendo Super Famicom || Rudra no Hihou (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Rudra no Hihou (Japan)/Rudra no Hihou (Japan).json
Nintendo Super Famicom || Rudra no Hihou (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Rudra no Hihou (Japan) (English Patch)/Rudra no Hihou (Japan) (English Patch).json
Nintendo Super Famicom || Shin Megami Tensei (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Shin Megami Tensei (Japan)/Shin Megami Tensei (Japan).json
Nintendo Super Famicom || Shin Megami Tensei (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Shin Megami Tensei (Japan) (English Patch)/Shin Megami Tensei (Japan) (English Patch).json
Nintendo Super Famicom || Shin Megami Tensei II (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Shin Megami Tensei II (Japan)/Shin Megami Tensei II (Japan).json
Nintendo Super Famicom || Shin Megami Tensei II (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Shin Megami Tensei II (Japan) (English Patch)/Shin Megami Tensei II (Japan) (English Patch).json
Nintendo Super Famicom || Silva Saga II - The Legend of Light and Darkness (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Silva Saga II - The Legend of Light and Darkness (Japan)/Silva Saga II - The Legend of Light and Darkness (Japan).json
Nintendo Super Famicom || Silva Saga II - The Legend of Light and Darkness (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Silva Saga II - The Legend of Light and Darkness (Japan) (English Patch)/Silva Saga II - The Legend of Light and Darkness (Japan) (English Patch).json
Nintendo Super Famicom || Super E.D.F. (Japan) (En) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Super E.D.F. (Japan) (En)/Super E.D.F. (Japan) (En).json
Nintendo Super Famicom || Torneco no Daibouken - Fushigi no Dungeon (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Torneco no Daibouken - Fushigi no Dungeon (Japan)/Torneco no Daibouken - Fushigi no Dungeon (Japan).json
Nintendo Super Famicom || Torneco no Daibouken - Fushigi no Dungeon (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Torneco no Daibouken - Fushigi no Dungeon (Japan) (English Patch)/Torneco no Daibouken - Fushigi no Dungeon (Japan) (English Patch).json
Nintendo Super Famicom || Treasure Hunter G (Japan) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Treasure Hunter G (Japan)/Treasure Hunter G (Japan).json
Nintendo Super Famicom || Treasure Hunter G (Japan) (English Patch) || $ROM_JSON_ROOT/Nintendo/Nintendo Super Famicom/Treasure Hunter G (Japan) (English Patch)/Treasure Hunter G (Japan) (English Patch).json
