Computer - GOG || BioShock (USA) || $ROM_JSON_ROOT/Computer/GOG/B/BioShock (USA)/BioShock (USA).json
Computer - GOG || BioShock 2 (USA) || $ROM_JSON_ROOT/Computer/GOG/B/BioShock 2 (USA)/BioShock 2 (USA).json
Computer - GOG || BioShock 2 Remastered (USA) || $ROM_JSON_ROOT/Computer/GOG/B/BioShock 2 Remastered (USA)/BioShock 2 Remastered (USA).json
Computer - GOG || BioShock Infinite Complete Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/B/BioShock Infinite Complete Edition (USA)/BioShock Infinite Complete Edition (USA).json
Computer - GOG || BioShock Remastered (USA) || $ROM_JSON_ROOT/Computer/GOG/B/BioShock Remastered (USA)/BioShock Remastered (USA).json
Computer - GOG || Black Mirror (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Black Mirror (USA)/Black Mirror (USA).json
Computer - GOG || Black Mirror 2 (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Black Mirror 2 (USA)/Black Mirror 2 (USA).json
Computer - GOG || Black Mirror 3 (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Black Mirror 3 (USA)/Black Mirror 3 (USA).json
Computer - GOG || Blacksad - Under the Skin (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Blacksad - Under the Skin (USA)/Blacksad - Under the Skin (USA).json
Computer - GOG || Blades of Avernum (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Blades of Avernum (USA)/Blades of Avernum (USA).json
Computer - GOG || Blair Witch (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Blair Witch (USA)/Blair Witch (USA).json
Computer - GOG || Blood - Fresh Supply (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Blood - Fresh Supply (USA)/Blood - Fresh Supply (USA).json
Computer - GOG || BloodRayne (USA) || $ROM_JSON_ROOT/Computer/GOG/B/BloodRayne (USA)/BloodRayne (USA).json
Computer - GOG || BloodRayne - Terminal Cut (USA) || $ROM_JSON_ROOT/Computer/GOG/B/BloodRayne - Terminal Cut (USA)/BloodRayne - Terminal Cut (USA).json
Computer - GOG || BloodRayne 2 (USA) || $ROM_JSON_ROOT/Computer/GOG/B/BloodRayne 2 (USA)/BloodRayne 2 (USA).json
Computer - GOG || BloodRayne 2 - Terminal Cut (USA) || $ROM_JSON_ROOT/Computer/GOG/B/BloodRayne 2 - Terminal Cut (USA)/BloodRayne 2 - Terminal Cut (USA).json
Computer - GOG || Bloodstained - Ritual of the Night (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Bloodstained - Ritual of the Night (USA)/Bloodstained - Ritual of the Night (USA).json
Computer - GOG || Bloody Hell (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Bloody Hell (USA)/Bloody Hell (USA).json
Computer - GOG || Brigador - Up-Armored Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Brigador - Up-Armored Edition (USA)/Brigador - Up-Armored Edition (USA).json
Computer - GOG || Broforce (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Broforce (USA)/Broforce (USA).json
Computer - GOG || Builders of Egypt - Prologue (USA) || $ROM_JSON_ROOT/Computer/GOG/B/Builders of Egypt - Prologue (USA)/Builders of Egypt - Prologue (USA).json
Computer - GOG || Call of Cthulhu (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Call of Cthulhu (USA)/Call of Cthulhu (USA).json
Computer - GOG || Call of Cthulhu - Dark Corners of the Earth (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Call of Cthulhu - Dark Corners of the Earth (USA)/Call of Cthulhu - Dark Corners of the Earth (USA).json
Computer - GOG || Call of Cthulhu - Prisoner of Ice (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Call of Cthulhu - Prisoner of Ice (USA)/Call of Cthulhu - Prisoner of Ice (USA).json
Computer - GOG || Call of Cthulhu - Shadow of the Comet (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Call of Cthulhu - Shadow of the Comet (USA)/Call of Cthulhu - Shadow of the Comet (USA).json
Computer - GOG || Carmageddon Max Pack (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Carmageddon Max Pack (USA)/Carmageddon Max Pack (USA).json
Computer - GOG || Cat Lady, The (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Cat Lady, The (USA)/Cat Lady, The (USA).json
Computer - GOG || Cayne (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Cayne (USA)/Cayne (USA).json
Computer - GOG || Chroma Squad (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Chroma Squad (USA)/Chroma Squad (USA).json
Computer - GOG || Clive Barker's Undying (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Clive Barker's Undying (USA)/Clive Barker's Undying (USA).json
Computer - GOG || Coma, The - Recut (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Coma, The - Recut (USA)/Coma, The - Recut (USA).json
Computer - GOG || Control Ultimate Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Control Ultimate Edition (USA)/Control Ultimate Edition (USA).json
Computer - GOG || Costume Quest (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Costume Quest (USA)/Costume Quest (USA).json
Computer - GOG || CrossCode (USA) || $ROM_JSON_ROOT/Computer/GOG/C/CrossCode (USA)/CrossCode (USA).json
Computer - GOG || Crusader Kings Complete (USA) || $ROM_JSON_ROOT/Computer/GOG/C/Crusader Kings Complete (USA)/Crusader Kings Complete (USA).json
