Microsoft Xbox 360 || Left 4 Dead 2 (World) (En,Ja,Fr,De,Es,It,Pt,Zh,Ko,Pl,Ru) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Left 4 Dead 2 (World) (En,Ja,Fr,De,Es,It,Pt,Zh,Ko,Pl,Ru)/Left 4 Dead 2 (World) (En,Ja,Fr,De,Es,It,Pt,Zh,Ko,Pl,Ru).json
Microsoft Xbox 360 || Lost Odyssey (World) (En,Ja,Fr,De,Es,It) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Lost Odyssey (World) (En,Ja,Fr,De,Es,It)/Lost Odyssey (World) (En,Ja,Fr,De,Es,It).json
Microsoft Xbox 360 || Marvel - Ultimate Alliance Platinum Hits Special Edition (World) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Marvel - Ultimate Alliance Platinum Hits Special Edition (World)/Marvel - Ultimate Alliance Platinum Hits Special Edition (World).json
Microsoft Xbox 360 || N3 - Ninety-Nine Nights (World) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/N3 - Ninety-Nine Nights (World) (En,Fr,De,Es,It)/N3 - Ninety-Nine Nights (World) (En,Fr,De,Es,It).json
Microsoft Xbox 360 || Namco Museum - Virtual Arcade (USA) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Namco Museum - Virtual Arcade (USA)/Namco Museum - Virtual Arcade (USA).json
Microsoft Xbox 360 || Ninja Blade (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Pl,Ru) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Ninja Blade (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Pl,Ru)/Ninja Blade (World) (En,Ja,Fr,De,Es,It,Zh,Ko,Pl,Ru).json
Microsoft Xbox 360 || Orange Box, The (World) (En,Fr) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Orange Box, The (World) (En,Fr)/Orange Box, The (World) (En,Fr).json
Microsoft Xbox 360 || Perfect Dark Zero (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Perfect Dark Zero (USA) (En,Fr,Es)/Perfect Dark Zero (USA) (En,Fr,Es).json
Microsoft Xbox 360 || Phantasy Star Universe (USA, Europe) (En,Fr,De) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Phantasy Star Universe (USA, Europe) (En,Fr,De)/Phantasy Star Universe (USA, Europe) (En,Fr,De).json
Microsoft Xbox 360 || Qubed (World) (En,Ja,Fr,De,Es,It) || $ROM_JSON_ROOT/Microsoft/Microsoft Xbox 360/Qubed (World) (En,Ja,Fr,De,Es,It)/Qubed (World) (En,Ja,Fr,De,Es,It).json
