Sony PlayStation Portable || 3rd Birthday, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/3rd Birthday, The (USA)/3rd Birthday, The (USA).json
Sony PlayStation Portable || EyePet (USA) (En,Fr,Es,Pt) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/EyePet (USA) (En,Fr,Es,Pt)/EyePet (USA) (En,Fr,Es,Pt).json
Sony PlayStation Portable || Fat Princess - Fistful of Cake (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Fat Princess - Fistful of Cake (USA) (En,Fr,Es)/Fat Princess - Fistful of Cake (USA) (En,Fr,Es).json
Sony PlayStation Portable || Final Fantasy - 20th Anniversary Edition (USA) (En,Ja) (System 3.03) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Final Fantasy - 20th Anniversary Edition (USA) (En,Ja) (System 3.03)/Final Fantasy - 20th Anniversary Edition (USA) (En,Ja) (System 3.03).json
Sony PlayStation Portable || Final Fantasy II - 20th Anniversary Edition (USA) (En,Ja) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Final Fantasy II - 20th Anniversary Edition (USA) (En,Ja)/Final Fantasy II - 20th Anniversary Edition (USA) (En,Ja).json
Sony PlayStation Portable || Final Fantasy III (Japan) (En,Ja) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Final Fantasy III (Japan) (En,Ja) (v1.01)/Final Fantasy III (Japan) (En,Ja) (v1.01).json
Sony PlayStation Portable || Final Fantasy IV - The Complete Collection (USA) (En,Ja,Fr) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Final Fantasy IV - The Complete Collection (USA) (En,Ja,Fr)/Final Fantasy IV - The Complete Collection (USA) (En,Ja,Fr).json
Sony PlayStation Portable || Final Fantasy Reishiki (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Final Fantasy Reishiki (Japan)/Final Fantasy Reishiki (Japan).json
Sony PlayStation Portable || Final Fantasy Reishiki (Japan) (Translated) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Final Fantasy Reishiki (Japan) (Translated)/Final Fantasy Reishiki (Japan) (Translated).json
Sony PlayStation Portable || Final Fantasy Tactics - The War of the Lions (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Final Fantasy Tactics - The War of the Lions (USA)/Final Fantasy Tactics - The War of the Lions (USA).json
Sony PlayStation Portable || FlatOut - Head On (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/FlatOut - Head On (USA) (v1.01)/FlatOut - Head On (USA) (v1.01).json
