Sony PlayStation Network - PlayStation 4 || Invasion! (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Invasion! (USA)/Invasion! (USA).json
Sony PlayStation Network - PlayStation 4 || Keep Talking and Nobody Explodes (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Keep Talking and Nobody Explodes (USA)/Keep Talking and Nobody Explodes (USA).json
Sony PlayStation Network - PlayStation 4 || King's Tale - Final Fantasy XV, A (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/King's Tale - Final Fantasy XV, A (USA)/King's Tale - Final Fantasy XV, A (USA).json
Sony PlayStation Network - PlayStation 4 || Mega Man Legacy Collection (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Mega Man Legacy Collection (USA)/Mega Man Legacy Collection (USA).json
Sony PlayStation Network - PlayStation 4 || Moss (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Moss (USA)/Moss (USA).json
Sony PlayStation Network - PlayStation 4 || Nuclear Throne (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Nuclear Throne (USA)/Nuclear Throne (USA).json
Sony PlayStation Network - PlayStation 4 || P.T. - Silent Hills (Europe) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/P.T. - Silent Hills (Europe)/P.T. - Silent Hills (Europe).json
Sony PlayStation Network - PlayStation 4 || P.T. - Silent Hills (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/P.T. - Silent Hills (USA)/P.T. - Silent Hills (USA).json
Sony PlayStation Network - PlayStation 4 || Paper Beast (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Paper Beast (USA)/Paper Beast (USA).json
Sony PlayStation Network - PlayStation 4 || PlayStation VR Demo Disc 2 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/PlayStation VR Demo Disc 2 (USA)/PlayStation VR Demo Disc 2 (USA).json
Sony PlayStation Network - PlayStation 4 || Playroom VR, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Playroom VR, The (USA)/Playroom VR, The (USA).json
Sony PlayStation Network - PlayStation 4 || RPG Maker MV Player (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/RPG Maker MV Player (USA)/RPG Maker MV Player (USA).json
Sony PlayStation Network - PlayStation 4 || Ratchet & Clank (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Network - PlayStation 4/Ratchet & Clank (USA)/Ratchet & Clank (USA).json
