Sony PlayStation Vita || House in Fata Morgana, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/House in Fata Morgana, The (USA)/House in Fata Morgana, The (USA).json
Sony PlayStation Vita || Hue (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Hue (USA)/Hue (USA).json
Sony PlayStation Vita || LEGO Batman 2 - DC Super Heroes (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/LEGO Batman 2 - DC Super Heroes (USA)/LEGO Batman 2 - DC Super Heroes (USA).json
Sony PlayStation Vita || LEGO Batman 3 - Beyond Gotham (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/LEGO Batman 3 - Beyond Gotham (USA)/LEGO Batman 3 - Beyond Gotham (USA).json
Sony PlayStation Vita || LEGO Jurassic World (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/LEGO Jurassic World (USA)/LEGO Jurassic World (USA).json
Sony PlayStation Vita || LEGO Marvel Super Heroes - Universe in Peril (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/LEGO Marvel Super Heroes - Universe in Peril (USA)/LEGO Marvel Super Heroes - Universe in Peril (USA).json
Sony PlayStation Vita || LEGO Marvel's Avengers (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/LEGO Marvel's Avengers (USA)/LEGO Marvel's Avengers (USA).json
Sony PlayStation Vita || LEGO Movie Videogame, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/LEGO Movie Videogame, The (USA)/LEGO Movie Videogame, The (USA).json
Sony PlayStation Vita || LEGO Ninjago - Shadow of Ronin (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/LEGO Ninjago - Shadow of Ronin (USA)/LEGO Ninjago - Shadow of Ronin (USA).json
Sony PlayStation Vita || LEGO Star Wars - The Force Awakens (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/LEGO Star Wars - The Force Awakens (USA)/LEGO Star Wars - The Force Awakens (USA).json
Sony PlayStation Vita || La-Mulana EX (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/La-Mulana EX (USA)/La-Mulana EX (USA).json
Sony PlayStation Vita || LittleBigPlanet PS Vita (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/LittleBigPlanet PS Vita (USA)/LittleBigPlanet PS Vita (USA).json
