Sony PlayStation || Countdown Vampires (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Countdown Vampires (USA)/Countdown Vampires (USA).json
Sony PlayStation || Critical Depth (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Critical Depth (USA)/Critical Depth (USA).json
Sony PlayStation || Criticom (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Criticom (USA)/Criticom (USA).json
Sony PlayStation || Croc - Legend of the Gobbos (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Croc - Legend of the Gobbos (USA)/Croc - Legend of the Gobbos (USA).json
Sony PlayStation || Crusader - No Remorse (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Crusader - No Remorse (USA)/Crusader - No Remorse (USA).json
Sony PlayStation || Crusaders of Might and Magic (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Crusaders of Might and Magic (USA)/Crusaders of Might and Magic (USA).json
Sony PlayStation || Dance Dance Revolution (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Dance Dance Revolution (USA)/Dance Dance Revolution (USA).json
Sony PlayStation || Dance Dance Revolution Konamix (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Dance Dance Revolution Konamix (USA)/Dance Dance Revolution Konamix (USA).json
Sony PlayStation || Dark Messiah (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Dark Messiah (Japan)/Dark Messiah (Japan).json
Sony PlayStation || Dark Tales - From the Lost Soul (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Dark Tales - From the Lost Soul (Japan)/Dark Tales - From the Lost Soul (Japan).json
Sony PlayStation || Darkstone (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Darkstone (USA)/Darkstone (USA).json
Sony PlayStation || Deception III - Dark Delusion (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Deception III - Dark Delusion (USA)/Deception III - Dark Delusion (USA).json
Sony PlayStation || Destrega (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Destrega (USA)/Destrega (USA).json
Sony PlayStation || Destruction Derby (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Destruction Derby (USA)/Destruction Derby (USA).json
Sony PlayStation || Diablo (USA) (En,Fr,De,Sv) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Diablo (USA) (En,Fr,De,Sv)/Diablo (USA) (En,Fr,De,Sv).json
Sony PlayStation || Die Hard Trilogy (USA) (v1.1) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Die Hard Trilogy (USA) (v1.1)/Die Hard Trilogy (USA) (v1.1).json
Sony PlayStation || Dino Crisis (USA) (v1.1) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Dino Crisis (USA) (v1.1)/Dino Crisis (USA) (v1.1).json
Sony PlayStation || Dino Crisis 2 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Dino Crisis 2 (USA)/Dino Crisis 2 (USA).json
Sony PlayStation || Disruptor (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Disruptor (USA)/Disruptor (USA).json
Sony PlayStation || Dracula - The Last Sanctuary (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Dracula - The Last Sanctuary (USA)/Dracula - The Last Sanctuary (USA).json
Sony PlayStation || Dracula - The Resurrection (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Dracula - The Resurrection (USA)/Dracula - The Resurrection (USA).json
Sony PlayStation || Dragon Valor (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Dragon Valor (USA)/Dragon Valor (USA).json
Sony PlayStation || Duke Nukem - Time to Kill (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Duke Nukem - Time to Kill (USA)/Duke Nukem - Time to Kill (USA).json
Sony PlayStation || Duke Nukem - Total Meltdown (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Duke Nukem - Total Meltdown (USA)/Duke Nukem - Total Meltdown (USA).json
Sony PlayStation || Echo Night (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Echo Night (USA)/Echo Night (USA).json
Sony PlayStation || Echo Night 2 - Nemuri no Shihaisha (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Echo Night 2 - Nemuri no Shihaisha (Japan)/Echo Night 2 - Nemuri no Shihaisha (Japan).json
Sony PlayStation || Einhaender (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Einhaender (Japan)/Einhaender (Japan).json
Sony PlayStation || Eternal Eyes (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Eternal Eyes (USA)/Eternal Eyes (USA).json
Sony PlayStation || Evil Zone (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Evil Zone (USA)/Evil Zone (USA).json
Sony PlayStation || Excalibur 2555 A.D. (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Excalibur 2555 A.D. (USA)/Excalibur 2555 A.D. (USA).json
Sony PlayStation || Fade to Black (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Fade to Black (USA) (En,Fr,De,Es,It)/Fade to Black (USA) (En,Fr,De,Es,It).json
Sony PlayStation || Final Fantasy Anthology - Final Fantasy V (USA) (v1.1) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Final Fantasy Anthology - Final Fantasy V (USA) (v1.1)/Final Fantasy Anthology - Final Fantasy V (USA) (v1.1).json
Sony PlayStation || Final Fantasy Anthology - Final Fantasy VI (USA) (v1.1) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Final Fantasy Anthology - Final Fantasy VI (USA) (v1.1)/Final Fantasy Anthology - Final Fantasy VI (USA) (v1.1).json
Sony PlayStation || Final Fantasy Chronicles - Chrono Trigger (USA) (v1.1) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Final Fantasy Chronicles - Chrono Trigger (USA) (v1.1)/Final Fantasy Chronicles - Chrono Trigger (USA) (v1.1).json
Sony PlayStation || Final Fantasy Chronicles - Final Fantasy IV (USA) (v1.1) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Final Fantasy Chronicles - Final Fantasy IV (USA) (v1.1)/Final Fantasy Chronicles - Final Fantasy IV (USA) (v1.1).json
