Sega Genesis || Crack Down (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Crack Down (USA)/Crack Down (USA).json
Sega Genesis || Crusader of Centy (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Crusader of Centy (USA)/Crusader of Centy (USA).json
Sega Genesis || Cyborg Justice (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Cyborg Justice (USA, Europe)/Cyborg Justice (USA, Europe).json
Sega Genesis || DEcapAttack (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/DEcapAttack (USA, Europe)/DEcapAttack (USA, Europe).json
Sega Genesis || DEcapAttack (USA, Europe, Korea) || $ROM_JSON_ROOT/Other/Sega Genesis/DEcapAttack (USA, Europe, Korea)/DEcapAttack (USA, Europe, Korea).json
Sega Genesis || Daimakaimura ~ Ghouls'n Ghosts (World) (Rev A) || $ROM_JSON_ROOT/Other/Sega Genesis/Daimakaimura ~ Ghouls'n Ghosts (World) (Rev A)/Daimakaimura ~ Ghouls'n Ghosts (World) (Rev A).json
Sega Genesis || Desert Strike - Return to the Gulf (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Desert Strike - Return to the Gulf (USA, Europe)/Desert Strike - Return to the Gulf (USA, Europe).json
Sega Genesis || Dr. Robotnik's Mean Bean Machine (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Dr. Robotnik's Mean Bean Machine (USA)/Dr. Robotnik's Mean Bean Machine (USA).json
Sega Genesis || Dynamite Headdy (Japan) || $ROM_JSON_ROOT/Other/Sega Genesis/Dynamite Headdy (Japan)/Dynamite Headdy (Japan).json
Sega Genesis || Dynamite Headdy (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Dynamite Headdy (USA, Europe)/Dynamite Headdy (USA, Europe).json
Sega Genesis || ESWAT - City under Siege (USA, Europe) (Rev A) || $ROM_JSON_ROOT/Other/Sega Genesis/ESWAT - City under Siege (USA, Europe) (Rev A)/ESWAT - City under Siege (USA, Europe) (Rev A).json
Sega Genesis || Earthworm Jim (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Earthworm Jim (USA)/Earthworm Jim (USA).json
Sega Genesis || Earthworm Jim 2 (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Earthworm Jim 2 (USA)/Earthworm Jim 2 (USA).json
Sega Genesis || Ecco - The Tides of Time (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Ecco - The Tides of Time (USA)/Ecco - The Tides of Time (USA).json
Sega Genesis || Ecco Jr. (USA, Australia) || $ROM_JSON_ROOT/Other/Sega Genesis/Ecco Jr. (USA, Australia)/Ecco Jr. (USA, Australia).json
