Apple iOS || Jetpack Joyride (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Jetpack Joyride (USA)/Jetpack Joyride (USA).json
Apple iOS || Kingturn RPG (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Kingturn RPG (USA)/Kingturn RPG (USA).json
Apple iOS || LEGO Star Wars - The Complete Saga (USA) || $ROM_JSON_ROOT/Other/Apple iOS/LEGO Star Wars - The Complete Saga (USA)/LEGO Star Wars - The Complete Saga (USA).json
Apple iOS || LEGO Star Wars - The Force Awakens (USA) || $ROM_JSON_ROOT/Other/Apple iOS/LEGO Star Wars - The Force Awakens (USA)/LEGO Star Wars - The Force Awakens (USA).json
Apple iOS || Marvel Puzzle Quest - Hero RPG (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Marvel Puzzle Quest - Hero RPG (USA)/Marvel Puzzle Quest - Hero RPG (USA).json
Apple iOS || Maze of Darkness (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Maze of Darkness (USA)/Maze of Darkness (USA).json
Apple iOS || Mini Day Z - Zombie Survival (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Mini Day Z - Zombie Survival (USA)/Mini Day Z - Zombie Survival (USA).json
Apple iOS || Monument Valley (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Monument Valley (USA)/Monument Valley (USA).json
Apple iOS || Neko Atsume - Kitty Collector (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Neko Atsume - Kitty Collector (USA)/Neko Atsume - Kitty Collector (USA).json
Apple iOS || Organ Trail - Director's Cut (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Organ Trail - Director's Cut (USA)/Organ Trail - Director's Cut (USA).json
Apple iOS || Plague Inc. (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Plague Inc. (USA)/Plague Inc. (USA).json
Apple iOS || Rage of Bahamut (USA) || $ROM_JSON_ROOT/Other/Apple iOS/Rage of Bahamut (USA)/Rage of Bahamut (USA).json
